Name,App.,Minutes,Shots,Shots on Target,Shots in Box,Shots Outside Box,Headed Attempts,Big Chance,Big Chance Created,Goals,Goals inside Box,Goals outside Box,Headed Goal,Goal Involvement,Key Pass,Big Chance Created.1,Assists,Crosses (Tot.),Crosses (Succ.),Crosses Succ. %,Exp. Goals (xG),Non Penalty xG (NPxG),Exp. Assists (xA),Exp. Att. Points (xATT),Exp. Points (xPts),Exp. Involvement (xGI),Cost (£M),Points,Bonus Points,Baseline BPS,BPS,Threat,Creativity,Influence,Total Passes,Accurate Passes,Pass Completion (%),Opp. Half Passes,Opp. Half Accurate,Opp. Half Pass %,Final 3rd Passes,Final 3rd Accurate,Final 3rd Pass %,Throughballs (Tot.),Throughballs (Succ.),Touches (All),Touches (Box),Entries (Box),Fouls Won (Final 3rd),Penalty Box Entries,Fouls Won (Box),Fouls Made,Corners Taken,Set Piece Into Box,Freekicks (Indirect),Freekicks Taken,Freekicks (Accurate),Freekicks (Direct),Freekick Scored,Penalties Taken,Penalties Scored,Penalties Missed,Clean Sheets,Goals Conceded,Exp. Clean Sheets,Expected Goals Conceded,Shots Conceded,Shots In Box Conceded,Shots on Target Conceded,Headed Shots Conceded,Shots Conc. Set Pieces,Big Chances Conceded,Tackles (Tot.),Tackles (Won),Tackles Won (%),Recoveries,Clearances,Blocks,Interceptions,CBI,Shots Conc. Set Pieces.1,Wins,Saves,Yellow Cards,Second Yellows,Red Cards,Offsides,Errors (lead to Goal),Errors (lead to Shot),Own Goals,Names,Position,Team
Firmino (F)LIV,4,78,2.25,1.25,2.25,0.0,1.25,0.75,0.0,0.25,0.25,0.0,0.25,17,1.0,0.75,0.0,1.5,0.0,0,0.45,0.45,0.12,2.17,5.56,23,8.1,3.0,0.0,6.75,12.75,39.5,14.1,15.15,32.0,26.25,82,23.75,17.5,74,12.75,9.25,73,0.0,0.0,48.75,5.25,4.0,0.25,2.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,,2.04,11.75,8.5,5.75,2.75,1.5,3.5,0.5,0.5,100,3.0,0.0,0.0,1.0,1.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Firmino ,F,LIV
Wilson (F)NEW,4 (1),58,2.5,1.25,2.0,0.5,0.75,1.0,0.0,0.75,0.5,0.25,0.25,45,0.75,1.0,0.5,0.0,0.0,0,0.58,0.4,0.1,2.65,4.77,36,7.4,6.5,0.75,0.0,22.5,34.75,9.5,30.0,9.25,7.0,76,7.5,5.5,73,4.5,3.25,72,0.0,0.0,18.75,3.75,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,,0.96,10.25,6.5,3.0,2.25,0.25,1.0,0.25,0.0,0,0.75,0.75,0.0,0.0,0.75,0.25,1.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,Wilson ,F,NEW
Solanke (F)BOU,4,78,2.25,1.25,1.75,0.5,0.25,0.25,0.0,0.25,0.25,0.0,0.0,25,0.25,0.25,0.25,0.0,0.0,0,0.3,0.3,0.09,1.48,4.29,24,5.8,3.5,0.0,4.75,13.0,37.0,3.65,17.6,12.25,8.0,65,6.75,3.75,56,5.0,2.25,45,0.0,0.0,29.25,3.75,1.25,0.25,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,,1.7,19.0,12.5,4.5,5.75,1.5,1.75,0.25,0.0,0,3.25,2.25,0.25,0.0,2.5,1.5,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,Solanke ,F,BOU
Wood (F)NEW,4 (3),31,0.5,0.25,0.5,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,9,0.25,0.25,0.0,0.0,0.0,0,0.12,0.12,0.02,0.52,2.4,7,5.6,2.75,0.5,4.75,10.75,6.25,3.3,10.95,7.5,5.5,73,5.75,4.0,70,3.75,2.5,67,0.0,0.0,11.25,1.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,,0.96,10.25,6.5,3.0,2.25,0.25,1.0,0.5,0.5,100,1.75,0.25,0.25,0.0,0.5,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wood ,F,NEW
Vardy (F)LEI,4 (3),35,0.5,0.5,0.5,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,25,0.5,0.25,0.25,0.0,0.0,0,0.16,0.16,0.04,0.76,2.73,12,9.1,3.5,0.5,3.0,11.25,11.5,5.5,15.65,5.5,3.0,55,4.0,2.25,56,3.5,1.75,50,0.0,0.0,9.75,2.0,0.75,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,,1.32,16.5,11.25,4.75,5.25,0.75,1.0,0.25,0.0,0,0.5,1.25,0.0,0.0,1.25,0.75,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,Vardy ,F,LEI
Jesus (F)ARS,4,90,4.75,1.25,4.25,0.5,0.75,1.5,0.5,0.0,0.0,0.0,0.0,22,1.5,1.5,0.5,0.75,0.0,0,0.72,0.72,0.38,4.02,7.03,56,8,3.75,0.25,4.25,8.75,66.25,20.75,21.55,31.5,26.0,83,24.0,18.75,78,13.75,9.75,71,0.25,0.25,58.25,10.0,2.25,1.0,2.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,,0.52,7.75,4.25,2.0,0.75,0.0,0.25,2.0,1.5,75,3.25,1.5,0.25,1.25,3.0,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,Jesus ,F,ARS
Ings (F)AVL,4 (1),68,1.25,1.0,1.25,0.0,0.0,0.75,0.0,1.0,1.0,0.0,0.0,44,1.25,0.75,0.0,0.25,0.0,0,0.54,0.16,0.1,2.47,5.27,42,6.6,7.0,1.5,6.0,30.0,26.5,14.22,39.65,12.25,9.0,73,8.25,5.5,67,4.75,3.25,68,0.25,0.0,22.0,3.75,1.0,0.25,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.25,1.25,,1.66,11.75,8.0,3.75,2.75,0.25,2.75,0.75,0.75,100,1.25,1.25,0.0,0.25,1.5,0.25,0.75,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,Ings ,F,AVL
Kane (F)TOT,4,90,3.5,1.5,3.0,0.5,2.0,1.0,0.5,0.75,0.75,0.0,0.25,44,1.75,1.0,0.25,1.0,0.0,0,0.58,0.58,0.36,3.39,6.4,41,11.6,7.0,1.5,4.25,24.5,51.75,21.32,30.9,21.25,15.25,72,19.0,12.0,63,12.75,8.25,65,0.25,0.25,38.75,5.25,4.75,1.0,2.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,,1.6,11.0,7.5,5.0,1.5,1.0,2.25,0.0,0.0,0,2.75,0.25,0.25,0.25,0.75,1.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,Kane ,F,TOT
Adams (F)SOU,4 (1),65,2.5,1.0,2.25,0.25,1.0,1.0,0.25,0.25,0.25,0.0,0.25,33,1.0,1.0,0.0,0.0,0.0,0,0.48,0.48,0.2,2.52,5.44,45,6.4,3.25,0.5,3.5,9.5,33.75,13.55,12.9,17.0,13.25,78,13.25,10.5,79,8.5,7.0,82,0.25,0.25,28.0,4.5,1.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,,1.77,11.5,7.25,4.25,2.75,0.25,3.25,0.5,0.5,100,1.5,0.25,0.0,0.5,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,Adams ,F,SOU
Maupay (F)EVE,4 (3),29,0.75,0.25,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.0,0.0,0.0,0.0,0,0.07,0.07,0.05,0.42,2.43,9,6.1,1.25,0.0,2.25,2.25,17.75,3.72,1.05,5.5,4.25,77,2.75,1.75,64,1.5,1.25,83,0.0,0.0,11.75,2.75,0.25,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.76,17.75,12.25,6.25,3.25,0.5,1.75,0.25,0.0,0,0.75,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maupay ,F,EVE
