Name,App.,Minutes,Shots,Shots on Target,Shots in Box,Shots Outside Box,Headed Attempts,Big Chance,Big Chance Created,Goals,Goals inside Box,Goals outside Box,Headed Goal,Goal Involvement,Key Pass,Big Chance Created.1,Assists,Crosses (Tot.),Crosses (Succ.),Crosses Succ. %,Exp. Goals (xG),Non Penalty xG (NPxG),Exp. Assists (xA),Exp. Att. Points (xATT),Exp. Points (xPts),Exp. Involvement (xGI),Cost (£M),Points,Bonus Points,Baseline BPS,BPS,Threat,Creativity,Influence,Total Passes,Accurate Passes,Pass Completion (%),Opp. Half Passes,Opp. Half Accurate,Opp. Half Pass %,Final 3rd Passes,Final 3rd Accurate,Final 3rd Pass %,Throughballs (Tot.),Throughballs (Succ.),Touches (All),Touches (Box),Entries (Box),Fouls Won (Final 3rd),Penalty Box Entries,Fouls Won (Box),Fouls Made,Corners Taken,Set Piece Into Box,Freekicks (Indirect),Freekicks Taken,Freekicks (Accurate),Freekicks (Direct),Freekick Scored,Penalties Taken,Penalties Scored,Penalties Missed,Clean Sheets,Goals Conceded,Exp. Clean Sheets,Expected Goals Conceded,Shots Conceded,Shots In Box Conceded,Shots on Target Conceded,Headed Shots Conceded,Shots Conc. Set Pieces,Big Chances Conceded,Tackles (Tot.),Tackles (Won),Tackles Won (%),Recoveries,Clearances,Blocks,Interceptions,CBI,Shots Conc. Set Pieces.1,Wins,Saves,Yellow Cards,Second Yellows,Red Cards,Offsides,Errors (lead to Goal),Errors (lead to Shot),Own Goals,Names,Position,Team
Bazunu (G)SOU,3,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2.8,0,4.5,1.33,0.0,14.0,14.0,0.0,0.0,19.87,35.33,21.67,61,18.0,7.0,39,8.0,2.33,29,0.0,0.0,47.33,0.0,8.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,,1.84,11.33,7.33,4.67,3.33,0.33,3.33,0.0,0.0,0,10.33,1.0,0.0,0.33,1.33,0.33,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bazunu ,G,SOU
Martínez (G)AVL,3,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.33,0.0,0.0,0.0,0.0,0,0,0.0,0.01,0.03,1.96,1,4.9,1.33,0.0,9.67,9.67,0.0,4.33,13.73,31.0,21.0,68,10.33,2.67,26,4.33,1.0,23,0.33,0.33,36.0,0.0,4.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,,1.79,11.67,8.0,4.0,3.0,0.33,3.0,0.0,0.0,0,7.33,0.67,0.0,0.0,0.67,0.33,0.67,1.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,Martínez ,G,AVL
Pope (G)NEW,3,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4.38,0,5.3,4.67,0.0,11.33,19.33,0.0,0.0,12.87,17.33,9.33,54,8.67,1.67,19,3.33,0.33,10,0.0,0.0,29.67,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,,0.7,8.0,5.33,2.33,1.67,0.33,0.67,0.0,0.0,0,9.0,1.0,0.0,0.0,1.0,0.33,1.0,2.0,0.33,0.0,0.0,0.0,0.0,0.33,0.0,Pope ,G,NEW
Raya (G)BRE,3,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.75,0,4.6,2.67,0.0,18.67,18.67,0.0,0.0,35.73,42.67,27.67,65,22.33,9.33,42,11.67,4.67,40,0.0,0.0,53.0,0.0,11.67,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,,1.58,19.0,10.67,5.67,3.0,0.33,1.33,0.0,0.0,0,9.67,1.0,0.0,0.0,1.0,0.33,0.33,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Raya ,G,BRE
Sá (G)WOL,3,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2.91,0,5,1.67,0.0,14.33,14.33,0.0,0.0,20.8,22.33,11.33,51,14.67,4.0,27,4.0,1.0,25,0.0,0.0,31.67,0.0,4.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,1.59,15.0,10.33,5.0,4.0,1.0,2.0,0.0,0.0,0,7.67,1.33,0.0,0.0,1.33,1.0,0.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sá ,G,WOL
Leno (G)FUL,3,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.33,0,4.5,5.67,1.67,22.67,26.67,0.0,0.0,36.27,37.67,31.33,83,8.67,3.33,38,2.33,0.67,29,0.0,0.0,53.33,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.33,,2.49,13.0,10.33,6.0,2.67,1.0,4.33,0.0,0.0,0,11.33,1.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leno ,G,FUL
Guaita (G)CRY,3,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4.16,0,4.5,4.33,0.67,13.67,17.67,0.0,0.0,20.67,27.67,20.33,73,7.33,2.33,32,2.33,0.33,14,0.0,0.0,38.0,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,,0.92,9.33,6.67,2.67,1.67,1.67,1.33,0.0,0.0,0,8.33,1.67,0.0,0.0,1.67,1.67,0.67,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Guaita ,G,CRY
Pickford (G)EVE,3,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.33,0.0,0.0,0.0,0.0,0,0,0.0,0.01,0.03,3.76,1,4.5,5.33,1.0,19.67,23.67,0.0,3.33,41.2,36.0,24.0,67,16.0,6.33,40,7.0,2.33,33,0.0,0.0,49.33,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.67,,2.18,20.67,14.67,7.67,4.0,0.67,2.33,0.0,0.0,0,8.0,2.0,0.0,0.0,2.0,0.67,0.0,5.67,0.0,0.0,0.0,0.0,0.33,0.33,0.0,Pickford ,G,EVE
Ward (G)LEI,3,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4.33,0,4.1,6.67,1.0,18.0,26.0,0.0,0.0,32.73,36.0,22.33,62,14.33,3.0,21,2.33,0.33,14,0.0,0.0,52.33,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,,1.09,15.0,10.0,4.33,5.0,0.67,0.67,0.0,0.0,0,10.33,2.0,0.0,0.0,2.0,0.67,0.67,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ward ,G,LEI
Alisson (G)LIV,3,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.35,0,5.5,2.67,0.0,20.67,20.67,0.0,0.0,35.2,35.0,27.33,78,8.33,2.33,28,2.33,0.67,29,0.0,0.0,48.33,0.0,2.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,,1.86,12.33,9.33,5.33,3.67,1.33,3.0,0.0,0.0,0,11.33,1.67,0.0,0.0,1.67,1.33,0.67,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alisson ,G,LIV
