Name,App.,Minutes,Shots,Shots on Target,Shots in Box,Shots Outside Box,Headed Attempts,Big Chance,Big Chance Created,Goals,Goals inside Box,Goals outside Box,Headed Goal,Goal Involvement,Key Pass,Big Chance Created.1,Assists,Crosses (Tot.),Crosses (Succ.),Crosses Succ. %,Exp. Goals (xG),Non Penalty xG (NPxG),Exp. Assists (xA),Exp. Att. Points (xATT),Exp. Points (xPts),Exp. Involvement (xGI),Cost (£M),Points,Bonus Points,Baseline BPS,BPS,Threat,Creativity,Influence,Total Passes,Accurate Passes,Pass Completion (%),Opp. Half Passes,Opp. Half Accurate,Opp. Half Pass %,Final 3rd Passes,Final 3rd Accurate,Final 3rd Pass %,Throughballs (Tot.),Throughballs (Succ.),Touches (All),Touches (Box),Entries (Box),Fouls Won (Final 3rd),Penalty Box Entries,Fouls Won (Box),Fouls Made,Corners Taken,Set Piece Into Box,Freekicks (Indirect),Freekicks Taken,Freekicks (Accurate),Freekicks (Direct),Freekick Scored,Penalties Taken,Penalties Scored,Penalties Missed,Clean Sheets,Goals Conceded,Exp. Clean Sheets,Expected Goals Conceded,Shots Conceded,Shots In Box Conceded,Shots on Target Conceded,Headed Shots Conceded,Shots Conc. Set Pieces,Big Chances Conceded,Tackles (Tot.),Tackles (Won),Tackles Won (%),Recoveries,Clearances,Blocks,Interceptions,CBI,Shots Conc. Set Pieces.1,Wins,Saves,Yellow Cards,Second Yellows,Red Cards,Offsides,Errors (lead to Goal),Errors (lead to Shot),Own Goals,Names,Position,Team
Iwobi (M)EVE,4,90,1.25,0.25,0.5,0.75,0.25,0.25,1.0,0.0,0.0,0.0,0.0,67,2.25,0.25,0.5,1.5,0.5,33,0.13,0.13,0.48,2.07,4.89,44,5.6,4.75,0.75,14.5,19.0,12.5,31.35,20.95,40.25,34.25,85,29.0,23.25,80,18.25,15.0,82,0.5,0.25,55.25,2.0,6.25,0.0,3.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.25,,1.76,17.75,12.25,6.25,3.25,0.5,1.75,2.25,1.25,56,4.75,0.25,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Iwobi ,M,EVE
Cook (M)BOU,4,90,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,12,1.5,0.0,0.25,3.25,1.5,46,0.0,0.0,0.14,0.45,2.67,9,4.9,2.5,0.0,14.5,16.75,1.0,22.65,21.4,36.0,29.75,83,19.0,13.5,71,8.75,5.75,66,0.0,0.0,50.25,0.5,5.25,0.0,3.5,0.0,1.0,1.0,2.25,1.25,1.25,0.5,0.0,0.0,0.0,0.0,0.0,0.25,2.25,,1.7,19.0,12.5,4.5,5.75,1.5,1.75,1.75,1.0,57,8.5,1.5,1.25,1.5,4.25,1.5,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Cook ,M,BOU
Lerma (M)BOU,4,90,0.75,0.25,0.5,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.06,0.06,0.15,0.74,2.89,13,4.8,1.75,0.0,9.25,9.25,11.75,12.0,11.0,41.0,32.0,78,19.0,12.25,64,10.75,5.5,51,0.25,0.0,51.25,1.5,4.0,0.25,2.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.25,,1.7,19.0,12.5,4.5,5.75,1.5,1.75,1.5,1.0,67,6.75,1.5,0.5,0.25,2.25,1.5,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Lerma ,M,BOU
March (M)BHA,4,90,1.25,0.25,1.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,11,1.0,0.25,0.25,5.75,0.75,13,0.16,0.16,0.09,1.03,3.73,15,5,2.75,0.0,9.5,11.75,24.75,17.28,14.4,35.75,30.5,85,29.75,20.25,68,18.0,14.5,81,0.0,0.0,58.75,3.25,2.75,0.75,6.75,0.0,1.5,4.25,3.75,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,1.58,10.25,7.25,4.5,1.75,0.5,1.75,1.25,0.75,60,3.5,1.5,0.0,1.0,2.5,0.5,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,March ,M,BHA
Groß (M)BHA,4,89,0.75,0.5,0.5,0.25,0.0,0.25,0.25,0.5,0.5,0.0,0.0,22,1.0,0.25,0.0,3.75,0.75,20,0.16,0.16,0.15,1.25,3.42,19,5.6,4.5,0.5,9.25,18.25,11.75,16.3,24.75,39.75,31.5,79,26.5,18.25,69,15.25,10.5,69,0.0,0.0,57.5,2.0,6.0,0.0,4.5,0.0,1.25,2.25,2.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,1.58,10.25,7.25,4.5,1.75,0.5,1.75,1.75,1.25,71,2.0,0.0,0.25,0.25,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,Groß ,M,BHA
Bissouma (M)TOT,4 (1),64,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.25,0.0,0,0.0,0.0,0.0,0.05,2.18,0,4.7,1.5,0.0,9.5,9.5,3.0,2.15,6.1,41.25,38.5,93,18.0,15.75,88,7.75,7.0,90,0.0,0.0,51.0,0.25,3.0,0.25,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,,1.6,11.0,7.5,5.0,1.5,1.0,2.25,1.25,0.75,60,4.5,0.25,0.25,0.5,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bissouma ,M,TOT
McNeil (M)EVE,4 (2),44,0.75,0.25,0.25,0.5,0.0,0.25,0.0,0.25,0.25,0.0,0.0,33,0.5,0.25,0.0,2.75,0.5,18,0.12,0.12,0.04,0.72,2.88,12,5.2,2.75,0.0,5.25,9.75,9.75,9.55,12.65,16.25,14.0,86,14.0,9.75,70,6.0,4.75,79,0.0,0.0,26.25,1.0,1.25,0.25,2.5,0.0,0.0,0.75,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.76,17.75,12.25,6.25,3.25,0.5,1.75,1.25,0.5,40,1.5,0.75,0.0,0.25,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,McNeil ,M,EVE
Willian (M)FUL,4,87,1.75,1.0,1.5,0.25,0.0,0.5,0.25,0.25,0.25,0.0,0.0,20,2.0,0.5,0.0,1.75,0.25,14,0.32,0.32,0.22,2.24,5.06,31,5.5,4.25,0.75,13.25,17.75,24.75,27.5,18.15,34.0,28.75,85,26.25,20.0,76,16.75,12.75,76,0.5,0.25,48.75,4.25,3.25,0.0,3.0,0.0,0.5,1.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,,2.41,13.25,10.0,5.75,2.25,1.0,4.25,0.75,0.25,33,5.5,0.25,0.0,0.5,0.75,1.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,Willian ,M,FUL
Loftus-Cheek (M)CHE,4,63,0.75,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.75,0.0,0,0.05,0.05,0.03,0.34,2.69,9,5,1.5,0.0,6.5,6.5,7.75,7.78,5.1,26.5,23.5,89,17.5,15.25,87,7.5,6.25,83,0.0,0.0,37.25,1.0,3.25,0.5,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.25,,1.62,14.0,9.75,5.0,2.5,0.5,2.25,0.75,0.25,33,4.25,0.75,0.0,0.5,1.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,Loftus-Cheek ,M,CHE
Kovacic (M)CHE,4 (2),61,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.0,0.0,0.5,0.25,50,0.01,0.01,0.02,0.1,1.97,3,4.9,1.25,0.0,7.75,7.75,4.0,6.35,8.65,36.25,28.5,79,22.0,15.75,72,12.0,8.75,73,0.25,0.0,44.0,0.0,7.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,,1.62,14.0,9.75,5.0,2.5,0.5,2.25,0.5,0.25,50,4.25,1.25,0.25,1.25,2.75,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,Kovacic ,M,CHE
Schlupp (M)CRY,4 (1),74,0.75,0.25,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,1.0,0.0,0,0.04,0.04,0.03,0.32,2.27,8,4.7,1.5,0.0,6.5,6.5,6.75,8.05,6.0,43.25,35.75,83,26.0,20.0,77,11.75,8.75,74,0.0,0.0,56.75,2.0,5.5,0.25,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,,1.16,9.25,6.25,3.5,1.25,1.25,1.75,2.0,2.0,100,5.0,0.5,0.0,1.0,1.5,1.25,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Schlupp ,M,CRY
Zaha (M)CRY,4,90,2.25,0.75,1.25,1.0,0.0,0.5,0.0,0.25,0.25,0.0,0.0,67,1.0,0.5,0.25,1.0,0.25,25,0.37,0.21,0.1,2.16,4.32,51,7.5,3.75,0.5,-1.5,5.25,29.75,15.68,17.85,23.0,20.0,87,20.0,16.5,83,12.75,10.25,80,0.0,0.0,45.25,4.75,1.5,1.75,2.5,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,1.25,,1.16,9.25,6.25,3.5,1.25,1.25,1.75,0.75,0.75,100,3.5,0.0,0.0,0.0,0.0,1.25,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,Zaha ,M,CRY
